N,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
1,Random,1.683796055445265,0.22220155868210797,0.4745339263066481,15.0,0.833,191.055
1,GaoMatching,1.6844935793066007,0.22623285503056034,0.47473672998602867,15.0,0.833,191.055
1,Greedy,1.6850125694424871,0.22639726625740986,0.4748808803585625,15.0,0.833,191.055
1,WGF,1.6852798955378472,0.22652405043323184,0.4749551795811284,15.0,0.833,191.055
1,GC,1.6843148358271087,0.22436266750771425,0.47468351545880055,15.0,0.833,191.055
1,TopAPBisect,1.6855628890823164,0.22719203410619,0.47503133011792614,15.0,0.833,676.385
1,H2GaoGreedy,1.6854889842616831,0.2277843498001378,0.47501317597210524,15.0,0.833,191.055
1,H3TopAPAdaptive,1.77645441832381,0.23696811300575657,0.5003396435040838,7.725,0.833,252.32
1,H4TopAPGreedy,1.6855130068442268,0.22773025180745063,0.47502043880397293,15.0,0.833,358.065
1,Proposed,1.7545729945785087,0.2353694942128116,0.4952491161139352,9.355,0.8311250000000001,292.78
1,MatchingBeamFixed,1.6844764535233299,0.22601819210361626,0.4755808622848914,15.0,0.8311250000000001,292.78
1,MatchingBeamAdaptive,1.7945882335422305,0.23470167346705603,0.5063268753491006,6.04,0.8311250000000001,292.78
2,Random,2.1706650340326537,0.40526184698652534,0.6107053641828482,15.0,1.6687,194.66
2,GaoMatching,2.170562046275647,0.4044291377411633,0.6106750660564872,15.0,1.6687,194.66
2,Greedy,2.170740830513529,0.40597128105721053,0.6107258756215205,15.0,1.6687,194.66
2,WGF,2.170701171250996,0.40665187419048343,0.6107153245820442,15.0,1.6687,194.66
2,GC,2.170096949291838,0.4031720129426905,0.610544567266159,15.0,1.6687,194.66
2,TopAPBisect,2.1709479212344864,0.4071734386106368,0.6107848546577526,15.0,1.6687,671.645
2,H2GaoGreedy,2.1709109527361394,0.40651713777211523,0.6107746730564262,15.0,1.6687,194.66
2,H3TopAPAdaptive,2.2851692694181125,0.4270141308804405,0.6425253950855973,7.925,1.6687,251.84
2,H4TopAPGreedy,2.170956102152348,0.4069841259992623,0.6107874774716323,15.0,1.6687,357.91
2,Proposed,2.198181385785053,0.4109016890386112,0.6095659662595172,12.975,1.4591250000000002,498.675
2,MatchingBeamFixed,2.164147571546671,0.4017508478008789,0.6001032623250491,15.0,1.4591250000000002,498.675
2,MatchingBeamAdaptive,2.3091051175024155,0.42392676516133465,0.6398093458617984,5.91,1.4591250000000002,498.675
4,Random,2.789604267430126,0.6740238202411134,0.786237060723581,15.0,3.3311,191.445
4,GaoMatching,2.7890236390011958,0.6695912851431827,0.7860803931342452,15.0,3.3311,191.445
4,Greedy,2.788800236330139,0.6721021301271815,0.7860184305758046,15.0,3.3311,191.445
4,WGF,2.788793381799491,0.6730262724678479,0.7860149593301037,15.0,3.3311,191.445
4,GC,2.7888591274977617,0.6723969029249984,0.7860360223618447,15.0,3.3311,191.445
4,TopAPBisect,2.78898528400664,0.6728782276506476,0.7860695079957492,15.0,3.3311,676.59
4,H2GaoGreedy,2.7888668552451117,0.6723177059042006,0.786036669769008,15.0,3.3311,191.445
4,H3TopAPAdaptive,2.9355078849211362,0.7060413339386041,0.8268596957533285,7.955,3.3311,252.46
4,H4TopAPGreedy,2.7888845219899894,0.6732210633317282,0.7860415912331655,15.0,3.3311,358.55
4,Proposed,2.768655485259802,0.6691161020350055,0.7697894608460687,15.445,2.5271,656.085
4,MatchingBeamFixed,2.777670239965438,0.6699428764284835,0.7720753713020437,15.0,2.5271,656.085
4,MatchingBeamAdaptive,2.972440252698482,0.7081221485519237,0.8254645434372014,5.565,2.5271,656.085
8,Random,3.5357282833869887,1.1396525313261838,0.9954796903546409,15.0,6.6696,192.94
8,GaoMatching,3.5345587886846515,1.1277405372228948,0.995148286812812,15.0,6.6696,192.94
8,Greedy,3.5346279336912216,1.140423424874149,0.9951656323561076,15.0,6.6696,192.94
8,WGF,3.5345135641881003,1.139834019699001,0.9951347583760888,15.0,6.6696,192.94
8,GC,3.534813367671562,1.1406303268116447,0.9952208053683578,15.0,6.6696,192.94
8,TopAPBisect,3.5345773357370045,1.1398625937549707,0.995153255807765,15.0,6.6696,670.105
8,H2GaoGreedy,3.5345251325933655,1.1372604781485718,0.9951380682383311,15.0,6.6696,192.94
8,H3TopAPAdaptive,3.721832221074625,1.1929193020861963,1.0472635731454272,7.89,6.6696,252.995
8,H4TopAPGreedy,3.5344871327100655,1.1401034995767436,0.9951266493354538,15.0,6.6696,358.205
8,Proposed,3.4559435098998876,1.1267145849876843,1.0265491440276595,17.32,4.2495,762.09
8,MatchingBeamFixed,3.51660350057648,1.1489886795200204,1.0440838443932388,15.0,4.2495,762.09
8,MatchingBeamAdaptive,3.7708796237643365,1.2268040768141493,1.1183099821068379,5.34,4.2495,762.09
