N,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
1,Random,1.5607523811692348,0.11100735877212077,0.5145517304936627,10.0,0.8197999999999999,97.975
1,Greedy,1.5589032762969888,0.11368171390069762,0.5139315810869504,10.0,0.8197999999999999,97.975
1,WGF,1.5587773883869807,0.1133740804974026,0.513893709088031,10.0,0.8197999999999999,97.975
1,GC,1.5585956273433572,0.10977245176057883,0.5138267010686492,10.0,0.8197999999999999,97.975
1,TopAPBisect,1.5596916856997272,0.11337837274173883,0.5141983884144008,10.0,0.8197999999999999,238.94
1,H2GaoGreedy,1.559077490334142,0.11315670579268242,0.5139919401432366,10.0,0.8197999999999999,97.975
1,H3TopAPAdaptive,1.588266272222801,0.11601118493911751,0.523555009390553,8.355,0.8197999999999999,189.695
1,H4TopAPGreedy,1.5591474764104563,0.11396021390903728,0.5140113376296453,10.0,0.8197999999999999,255.27
1,Proposed,1.6846648145837468,0.11825594275453934,0.5606541694627143,3.155,0.8089,18.65
1,MatchingBeamFixed,1.559215823709518,0.11139941638335596,0.5190744042548552,10.0,0.8089,18.65
1,MatchingBeamAdaptive,1.638060513944966,0.11669353676425143,0.5451753365612388,5.435,0.8089,18.65
2,Random,1.9722462668867868,0.2112447216485705,0.6485641267578656,10.0,1.6439000000000001,95.61
2,Greedy,1.9692814668009664,0.20922700612241318,0.6475790242792158,10.0,1.6439000000000001,95.61
2,WGF,1.9695301004518657,0.21012158256030355,0.6476631108895683,10.0,1.6439000000000001,95.61
2,GC,1.9694345454311157,0.20999180803919754,0.6476321456438286,10.0,1.6439000000000001,95.61
2,TopAPBisect,1.9694918059675388,0.20942358872379094,0.6476464203371868,10.0,1.6439000000000001,237.39
2,H2GaoGreedy,1.9695410302356167,0.2094175556373144,0.6476651846945785,10.0,1.6439000000000001,95.61
2,H3TopAPAdaptive,2.0043834449192173,0.21367047478754894,0.6589801827518269,8.435,1.6439000000000001,189.17
2,H4TopAPGreedy,1.9696059961159202,0.2106252099845373,0.6476851193239709,10.0,1.6439000000000001,254.34
2,Proposed,2.0850430510952074,0.2214614560211007,0.6817541150432848,4.735,1.4011000000000002,55.905
2,MatchingBeamFixed,1.9636468016083182,0.20809058488018586,0.6422120478206024,10.0,1.4011000000000002,55.905
2,MatchingBeamAdaptive,2.0693321419074096,0.21855415068221243,0.676573293706019,5.175,1.4011000000000002,55.905
4,Random,2.5218796173335702,0.3915331220654561,0.8306049935411912,10.0,3.2828,94.3
4,Greedy,2.518298180567747,0.38533815921505404,0.8294247197507889,10.0,3.2828,94.3
4,WGF,2.5182895916978354,0.38740051909300904,0.8294185861995568,10.0,3.2828,94.3
4,GC,2.5185452117311926,0.3873707687867591,0.8295025412406695,10.0,3.2828,94.3
4,TopAPBisect,2.5189902697241413,0.3925238332218825,0.8296472091988683,10.0,3.2828,240.91
4,H2GaoGreedy,2.5181593076579727,0.38721366449453565,0.8293760014538611,10.0,3.2828,94.3
4,H3TopAPAdaptive,2.566255843835723,0.3947781604530644,0.8450664347642375,8.32,3.2828,188.755
4,H4TopAPGreedy,2.518369631942974,0.38822105511041965,0.8294479262292747,10.0,3.2828,253.515
4,Proposed,2.612971982285685,0.40113429234982656,0.8575706200841244,6.335,2.40415,105.6
4,MatchingBeamFixed,2.5070039916058273,0.38369173337199775,0.8228891228222838,10.0,2.40415,105.6
4,MatchingBeamAdaptive,2.6518413188390033,0.40341592409396093,0.8701311330010665,4.885,2.40415,105.6
8,Random,3.149079220329883,0.6895284413082733,1.038720320145052,10.0,6.55,98.34
8,Greedy,3.144346782761962,0.6887123669926652,1.0371802129241754,10.0,6.55,98.34
8,WGF,3.1443245479963267,0.6852882326842232,1.0371762885214806,10.0,6.55,98.34
8,GC,3.144357789343759,0.6813010634651244,1.0371832406072705,10.0,6.55,98.34
8,TopAPBisect,3.1449630211803488,0.6890820862573657,1.03739397922631,10.0,6.55,238.385
8,H2GaoGreedy,3.144024300199387,0.6870103078678044,1.0370757341038273,10.0,6.55,98.34
8,H3TopAPAdaptive,3.201481964648369,0.703379243697534,1.0558473526701797,8.395,6.55,188.64
8,H4TopAPGreedy,3.1445330888249106,0.6880929589831325,1.0372447795370334,10.0,6.55,254.325
8,Proposed,3.2061878097683887,0.6890996508876019,1.1242011647616206,7.615,4.00895,150.1
8,MatchingBeamFixed,3.1207321714910248,0.6670547337807993,1.0943194152654614,10.0,4.00895,150.1
8,MatchingBeamAdaptive,3.3069001060777747,0.708877038448459,1.158995865517049,4.79,4.00895,150.1
