scheme,p5_se,median_se,mean_se,mean_tau_p,median_tau_p,p25_tau_p,p75_tau_p,min_tau_p,max_tau_p,mean_n_active_ap,mean_n_active_rf,mean_ee,mean_vs_random_pct,p5_vs_random_pct,ee_vs_random_pct
Random,1.1423548748131447,5.150180735355563,5.374648053527913,14.94,15.0,15.0,15.0,14,15,200.0,1600.0,1.4396378714806914,0.0,0.0,0.0
Gao matching,1.1428798121938195,5.1463061116025095,5.372742539007161,15.0,15.0,15.0,15.0,15,15,200.0,1600.0,1.43912746580549,-0.03545375439981176,0.04595221609753206,-0.03545375439981175
GC (Liu),1.1449336344778707,5.149100331920923,5.374414132018904,14.98,15.0,15.0,15.0,14,15,200.0,1600.0,1.4395752139336353,-0.00435231305714434,0.22574068020218244,-0.004352313057150949
Structured (Chen),1.1453633931326654,5.147631560092054,5.373808744372381,14.99,15.0,15.0,15.0,14,15,200.0,1600.0,1.4394130565283165,-0.015616076572332917,0.263361096087839,-0.015616076572346132
Mussbah,1.2379581894736353,5.458860218892547,5.696829573872265,6.925,7.0,6.0,7.0,5,11,162.79,644.86,2.1991125274883023,5.994467305312623,8.368968064860626,52.754562175172474
MJH weighted-count default,1.2379581894736353,5.458860218892547,5.696829573872265,6.925,7.0,6.0,7.0,5,11,162.79,644.86,2.1991125274883023,5.994467305312623,8.368968064860626,52.754562175172474
MJH weighted-count strict,1.2202871446601866,5.589005423499499,5.833366826876843,3.225,3.0,3.0,4.0,2,5,162.79,644.86,2.2518412457965393,8.534861609176948,6.822071806695738,56.41719979764656
MJH weighted-power,1.2379581894736353,5.458860218892547,5.696829573872265,6.925,7.0,6.0,7.0,5,11,162.79,644.86,2.1991125274883023,5.994467305312623,8.368968064860626,52.754562175172474
MJH beam-resource matching,1.239903695197307,5.547832154541613,5.7936130851848935,4.455,4.0,4.0,5.0,3,6,162.79,644.86,2.236526020390751,7.7952086812823405,8.539274662798496,55.35337494910764
TopAP (bisect),1.1471333054617552,5.152797923060348,5.377493933137947,14.905,15.0,15.0,15.0,13,15,196.145,1569.16,1.465344797719096,0.05295006448218375,0.4182965166049743,1.785652263507395
Hybrid#3 (TopAP N=8 adaptive),1.2363709959198168,5.430529665495067,5.658611539702979,7.895,8.0,7.0,8.0,6,11,173.36,1386.88,1.7179522163219607,5.283387551091316,8.230027566700791,19.332246695831802
Hybrid#4 (TopAP+greedy),1.1447392397404457,5.14947747435467,5.37370556868357,15.0,15.0,15.0,15.0,15,15,184.08,1472.64,1.5482655133447998,-0.017535749968314942,0.20872366196108694,7.545483764773637
